"Mod name","Registry name","Item ID","Display name"
"Abyssal Decor","abyssal_decor:bog_apple_leaves",12787,"Bog Apple Leaves"
"Abyssal Decor","abyssal_decor:bog_apple_pie",12791,"Bog Apple Pie"
"Abyssal Decor","abyssal_decor:bog_roll",12789,"Bogroll"
"Abyssal Decor","abyssal_decor:bonedust",12961,"Bonedust 1"
"Abyssal Decor","abyssal_decor:bonedust_2",12962,"Bonedust 2"
"Abyssal Decor","abyssal_decor:bonedust_3",12963,"Bonedust 3"
"Abyssal Decor","abyssal_decor:bonedust_4",12964,"Bonedust 4"
"Abyssal Decor","abyssal_decor:bonerot",12569,"Bonerot"
"Abyssal Decor","abyssal_decor:book_block",12720,"Book Block"
"Abyssal Decor","abyssal_decor:bottomless_bag_of_cobblestone",12723,"Bottomless Bag of Cobblestone"
"Abyssal Decor","abyssal_decor:bottomless_bag_of_dirt",12722,"Bottomless Bag of Dirt"
"Abyssal Decor","abyssal_decor:bottomless_bag_of_netherrack",12725,"Bottomless Bag of Netherrack"
"Abyssal Decor","abyssal_decor:bottomless_bag_of_snow",12724,"Bottomless Bag of Snow"
"Abyssal Decor","abyssal_decor:brick_cap",12782,"Brick Cap"
"Abyssal Decor","abyssal_decor:brick_cap_flipped",12919,"Brick Cap"
"Abyssal Decor","abyssal_decor:brick_cornerstone",12783,"Brick Cornerstone"
"Abyssal Decor","abyssal_decor:brick_mosaic",12781,"Brick Mosaic"
"Abyssal Decor","abyssal_decor:brick_pillar",12784,"Brick Pillar"
"Abyssal Decor","abyssal_decor:brick_trapdoor",12785,"Brick Trapdoor"
"Abyssal Decor","abyssal_decor:brittle_tuff",12512,"Brittle Tuff"
"Abyssal Decor","abyssal_decor:brown_wallpaper",12650,"Brown Wallpaper"
"Abyssal Decor","abyssal_decor:budding_bog_apple",12920,"Budding Bog Apple"
"Abyssal Decor","abyssal_decor:bulb_lamp_floor",12419,"Lightbulb"
"Abyssal Decor","abyssal_decor:bulb_lamp_floor_lit",12827,"Lightbulb Lit"
"Abyssal Decor","abyssal_decor:bulbous_moldy_hanger",12927,"Moldy Hanger"
"Abyssal Decor","abyssal_decor:candy_bog_apple",12790,"Candy Bog Apple"
"Abyssal Decor","abyssal_decor:ceiling_iron_lamp",12870,"Ceiling Iron Lamp"
"Abyssal Decor","abyssal_decor:ceiling_iron_lamp_on",12871,"Ceiling Iron Lamp"
"Abyssal Decor","abyssal_decor:ceiling_quartz_lamp",12872,"Ceiling Quartz Lamp"
"Abyssal Decor","abyssal_decor:ceiling_quartz_lamp_on",12873,"Ceiling Quartz Lamp"
"Abyssal Decor","abyssal_decor:ceiling_web",12799,"Ceiling Web"
"Abyssal Decor","abyssal_decor:chiseled_black_pearl",12732,"Chiseled Black Pearl Block"
"Abyssal Decor","abyssal_decor:chiseled_brick",12780,"Chiseled Brick"
"Abyssal Decor","abyssal_decor:chiseled_pearl",12472,"Chiseled Pearl Block"
"Abyssal Decor","abyssal_decor:chiseled_starstone",12673,"Chiseled Starstone"
"Abyssal Decor","abyssal_decor:cinnamon_apple",12770,"Cinnamon Apple"
"Abyssal Decor","abyssal_decor:cinnamon_bush",12768,"Cinnamon Bush"
"Abyssal Decor","abyssal_decor:cinnamon_button",12760,"Cinnamon Button"
"Abyssal Decor","abyssal_decor:cinnamon_door",12763,"Cinnamon Door"
"Abyssal Decor","abyssal_decor:cinnamon_fence",12757,"Cinnamon Fence"
"Abyssal Decor","abyssal_decor:cinnamon_fence_gate",12758,"Cinnamon Fence Gate"
"Abyssal Decor","abyssal_decor:cinnamon_leaves",12766,"Cinnamon Leaves"
"Abyssal Decor","abyssal_decor:cinnamon_log",12750,"Cinnamon Log"
"Abyssal Decor","abyssal_decor:cinnamon_paneling",12765,"Cinnamon Paneling"
"Abyssal Decor","abyssal_decor:cinnamon_planks",12754,"Cinnamon Planks"
"Abyssal Decor","abyssal_decor:cinnamon_post",12764,"Cinnamon Post"
"Abyssal Decor","abyssal_decor:cinnamon_post_mid",12910,"Cinnamon Post Mid"
"Abyssal Decor","abyssal_decor:cinnamon_post_top",12911,"Cinnamon Post Top"
"Abyssal Decor","abyssal_decor:cinnamon_pressure_plate",12759,"Cinnamon Pressure Plate"
"Abyssal Decor","abyssal_decor:cinnamon_roll",12771,"Cinnamon Roll"
"Abyssal Decor","abyssal_decor:cinnamon_sapling",12912,"Flowering Cinnamon Bush"
"Abyssal Decor","abyssal_decor:cinnamon_shingle_slab",12774,"Cinnamon Shingle Slab"
"Abyssal Decor","abyssal_decor:cinnamon_shingle_stairs",12775,"Cinnamon Shingle Stairs"
"Abyssal Decor","abyssal_decor:cinnamon_shingles",12773,"Cinnamon Shingles"
"Abyssal Decor","abyssal_decor:cinnamon_slab",12756,"Cinnamon Slab"
"Abyssal Decor","abyssal_decor:cinnamon_stairs",12755,"Cinnamon Stairs"
"Abyssal Decor","abyssal_decor:cinnamon_stick",12769,"Cinnamon Stick"
"Abyssal Decor","abyssal_decor:cinnamon_tea",12772,"Cinnamon Tea"
"Abyssal Decor","abyssal_decor:cinnamon_trapdoor",12761,"Cinnamon Trapdoor"
"Abyssal Decor","abyssal_decor:cinnamon_trim",12762,"Cinnamon Trim"
"Abyssal Decor","abyssal_decor:cinnamon_wood",12751,"Cinnamon Wood"
"Abyssal Decor","abyssal_decor:clam_empty_closed",12496,"Clam"
"Abyssal Decor","abyssal_decor:clam_empty_open",12813,"Clam"
"Abyssal Decor","abyssal_decor:clam_pearl_closed",12495,"Clam"
"Abyssal Decor","abyssal_decor:clam_pearl_open",12812,"Clam"
"Abyssal Decor","abyssal_decor:cooked_muckroot",12402,"Cooked Muckroot"
"Abyssal Decor","abyssal_decor:corrugated_iron",12520,"Corrugated Iron"
"Abyssal Decor","abyssal_decor:cracked_bricks",12779,"Cracked Bricks"
"Abyssal Decor","abyssal_decor:cracked_bricks_2",12936,"Cracked Bricks"
"Abyssal Decor","abyssal_decor:cracked_bricks_3",12937,"Cracked Bricks"
"Abyssal Decor","abyssal_decor:cracked_bricks_4",12938,"Cracked Bricks"
"Abyssal Decor","abyssal_decor:cracked_bricks_5",12939,"Cracked Bricks"
"Abyssal Decor","abyssal_decor:cracked_bricks_6",12940,"Cracked Bricks"
"Abyssal Decor","abyssal_decor:cracked_pearly_tiles",12492,"Cracked Pearl Tiles"
"Abyssal Decor","abyssal_decor:cracked_pearly_tiles_2",12852,"Cracked Pearl Tiles"
"Abyssal Decor","abyssal_decor:cracked_pearly_tiles_3",12853,"Cracked Pearl Tiles"
"Abyssal Decor","abyssal_decor:cracked_pearly_tiles_4",12854,"Cracked Pearl Tiles"
"Abyssal Decor","abyssal_decor:cracked_pearly_tiles_5",12855,"Cracked Pearl Tiles"
"Abyssal Decor","abyssal_decor:cracked_pearly_tiles_6",12856,"Cracked Pearl Tiles"
"Abyssal Decor","abyssal_decor:crystalized_glowstone",12448,"Crystalized Glowstone"
"Abyssal Decor","abyssal_decor:crystalized_glowstone_pane",12449,"Crystalized Glowstone Pane"
"Abyssal Decor","abyssal_decor:cut_black_pearl_block",12731,"Cut Black Pearl Block"
"Abyssal Decor","abyssal_decor:cut_cinnamon_log",12906,"Cut Cinnamon Log"
"Abyssal Decor","abyssal_decor:cut_cinnamon_wood",12907,"Cut Cinnamon Wood"
"Abyssal Decor","abyssal_decor:cut_pearl_block",12471,"Cut Pearl Block"
"Abyssal Decor","abyssal_decor:daffodil",12395,"Daffodil"
"Abyssal Decor","abyssal_decor:damaged_serpent_scale_slab",12577,"Damaged Serpent Scale Block"
"Abyssal Decor","abyssal_decor:damaged_serpent_scales",12576,"Damaged Serpent Scale Block"
"Abyssal Decor","abyssal_decor:damaged_serpent_skin",12578,"Damaged Serpent Skin Block"
"Abyssal Decor","abyssal_decor:dangling_web_bottom",12801,"Dangling Web Bottom"
"Abyssal Decor","abyssal_decor:dangling_web_item",12442,"Dangling Web"
"Abyssal Decor","abyssal_decor:dangling_web_top",12800,"Dangling Web Top"
"Abyssal Decor","abyssal_decor:dangling_web_wall_bottom",12803,"Dangling Web Wall Bottom"
"Abyssal Decor","abyssal_decor:dangling_web_wall_top",12802,"Dangling Web Wall Top"
"Abyssal Decor","abyssal_decor:darkness",12965,"Darkness"
"Abyssal Decor","abyssal_decor:darkness_2",12966,"Darkness"
"Abyssal Decor","abyssal_decor:deepbronze_bars",12631,"Deepbronze Bars"
"Abyssal Decor","abyssal_decor:deepbronze_beam",12634,"Deepbronze Beam"
"Abyssal Decor","abyssal_decor:deepbronze_block",12625,"Block of Deepbronze"
"Abyssal Decor","abyssal_decor:deepbronze_button",12636,"Deepbronze Button"
"Abyssal Decor","abyssal_decor:deepbronze_chain",12638,"Deepbronze Chain"
"Abyssal Decor","abyssal_decor:deepbronze_door",12645,"Deepbronze Door"
"Abyssal Decor","abyssal_decor:deepbronze_ingot",12623,"Deepbronze Ingot"
"Abyssal Decor","abyssal_decor:deepbronze_nugget",12624,"Deepbronze Nugget"
"Abyssal Decor","abyssal_decor:deepbronze_pillar",12627,"Deepbronze Pillar"
"Abyssal Decor","abyssal_decor:deepbronze_plating",12630,"Deepbronze Plating"
"Abyssal Decor","abyssal_decor:deepbronze_pressure_plate",12637,"Deepbronze Pressureplate"
"Abyssal Decor","abyssal_decor:deepbronze_sconce",12635,"Deepbronze Sconce"
"Abyssal Decor","abyssal_decor:deepbronze_slab",12640,"Deepbronze Slab"
"Abyssal Decor","abyssal_decor:deepbronze_stairs",12639,"Deepbronze Stairs"
"Abyssal Decor","abyssal_decor:deepbronze_trapdoor",12644,"Deepbronze Trapdoor"
"Abyssal Decor","abyssal_decor:deepbronze_trim",12628,"Deepbronze Trim"
"Abyssal Decor","abyssal_decor:desk_bell",12417,"Desk Bell"
"Abyssal Decor","abyssal_decor:dried_starfish",12429,"Dried Starfish"
"Abyssal Decor","abyssal_decor:dried_starfish_2",12842,"Dried Starfish"
"Abyssal Decor","abyssal_decor:dull_iron_bar_door",12535,"Dull Iron Bar Door"
"Abyssal Decor","abyssal_decor:dull_iron_bar_trapdoor",12536,"Dull Iron Bar Trapdoor"
"Abyssal Decor","abyssal_decor:dull_iron_bars",12530,"Dull Iron Bars"
"Abyssal Decor","abyssal_decor:dull_iron_bars_bottom",12859,"Dull Iron Bars"
"Abyssal Decor","abyssal_decor:dull_iron_bars_mid",12858,"Dull Iron Bars"
"Abyssal Decor","abyssal_decor:dull_iron_bars_upper",12857,"Dull Iron Bars"
"Abyssal Decor","abyssal_decor:dull_iron_post",12538,"Dull Iron Post"
"Abyssal Decor","abyssal_decor:dull_iron_post_mid",12879,"Dull Iron Post Mid"
"Abyssal Decor","abyssal_decor:dull_iron_post_top",12880,"Dull Iron Post Top"
"Abyssal Decor","abyssal_decor:dull_iron_sconce",12533,"Dull Iron Sconce"
"Abyssal Decor","abyssal_decor:dusty_cd",12413,"Dusty CD"
"Abyssal Decor","abyssal_decor:echo_shard_block",12748,"Block of Echo Shard"
"Abyssal Decor","abyssal_decor:effervescence",12797,"Block of Effervescence"
"Abyssal Decor","abyssal_decor:effervescent_pillar",12794,"Effervescent Pillar"
"Abyssal Decor","abyssal_decor:effervescent_tiles",12796,"Effervescent Tiles"
"Abyssal Decor","abyssal_decor:ethereal_rod",12391,"Ethereal Rod"
"Abyssal Decor","abyssal_decor:fever_blossom",12700,"Fever Blossom"
"Abyssal Decor","abyssal_decor:fever_blossom_crop_1",12697,"Fever Blossom Seeds"
"Abyssal Decor","abyssal_decor:fever_blossom_crop_2",12861,"Fever Blossom"
"Abyssal Decor","abyssal_decor:fever_blossom_crop_3",12862,"Fever Blossom"
"Abyssal Decor","abyssal_decor:fever_blossom_crop_4",12863,"Fever Blossom"
"Abyssal Decor","abyssal_decor:fever_blossom_crop_5",12864,"Fever Blossom"
"Abyssal Decor","abyssal_decor:fever_blossom_crop_6",12865,"Fever Blossom"
"Abyssal Decor","abyssal_decor:fever_blossom_crop_7",12866,"Fever Blossom"
"Abyssal Decor","abyssal_decor:fever_blossom_tea",12701,"Fever Blossom Tea"
"Abyssal Decor","abyssal_decor:flaky_scales",12570,"Flaky Scales"
"Abyssal Decor","abyssal_decor:floor_quartz_lamp",12824,"Floor Quartz Lamp"
"Abyssal Decor","abyssal_decor:floor_quartz_lamp_on",12825,"Floor Quartz Lamp"
"Abyssal Decor","abyssal_decor:flower_lamp",12422,"Flower Lamp"
"Abyssal Decor","abyssal_decor:flower_lamp_on",12835,"Flower Lamp On"
"Abyssal Decor","abyssal_decor:flowering_cinnamon_leaves",12767,"Flowering Cinnamon Leaves"
"Abyssal Decor","abyssal_decor:foghorn",12416,"Foghorn"
"Abyssal Decor","abyssal_decor:foxy_pillar",12412,"Foxy Pillar"
"Abyssal Decor","abyssal_decor:framed_crystalized_glowstone",12450,"Framed Crystalized Glowstone"
"Abyssal Decor","abyssal_decor:framed_crystalized_glowstone_pane",12451,"Framed Crystalized Glowstone Pane"
"Abyssal Decor","abyssal_decor:framed_pitchglass_bottom",12930,"Framed Pitchglass"
"Abyssal Decor","abyssal_decor:framed_pitchglass_pane_bottom",12931,"Framed Pitchglass Pane"
"Abyssal Decor","abyssal_decor:framed_pitchglass_pane_top",12691,"Framed Pitchglass Pane"
"Abyssal Decor","abyssal_decor:framed_pitchglass_top",12690,"Framed Pitchglass"
"Abyssal Decor","abyssal_decor:framed_vermillion_block",12454,"Framed Vermillion Block"
"Abyssal Decor","abyssal_decor:framed_vermillion_pane",12455,"Framed Vermillion Pane"
"Abyssal Decor","abyssal_decor:fresnel_block",12445,"Fresnel Block"
"Abyssal Decor","abyssal_decor:fresnel_lamp",12447,"Fresnel Lamp"
"Abyssal Decor","abyssal_decor:fresnel_pane",12446,"Fresnel Pane"
"Abyssal Decor","abyssal_decor:frosted_ceiling_lamp",12423,"Frosted Lamp"
"Abyssal Decor","abyssal_decor:frosted_ceiling_lamp_lit",12836,"Frosted Lamp On"
"Abyssal Decor","abyssal_decor:gargoyle_base",12438,"Gargoyle"
"Abyssal Decor","abyssal_decor:gargoyle_top",12928,"Gargoyle"
"Abyssal Decor","abyssal_decor:gilded_black_pearl",12726,"Gilded Black Pearl"
"Abyssal Decor","abyssal_decor:gilded_black_pearl_door",12727,"Gilded Black Pearl Door"
"Abyssal Decor","abyssal_decor:gilded_black_pearl_trapdoor",12728,"Gilded Black Pearl Trapdoor"
"Abyssal Decor","abyssal_decor:gilded_blood_coral_pillar",12547,"Gilded Blood Coral Pillar"
"Abyssal Decor","abyssal_decor:gilded_jade_pillar",12566,"Gilded Jade Pillar"
"Abyssal Decor","abyssal_decor:gilded_lapis_pillar",12676,"Gilded Lapis Lazuli Pillar"
"Abyssal Decor","abyssal_decor:gilded_starstone",12667,"Gilded Starstone"
"Abyssal Decor","abyssal_decor:gilded_velvet",12587,"Gilded Velvet"
"Abyssal Decor","abyssal_decor:gilded_velvet_carpet",12589,"Gilded Velvet Carpet"
"Abyssal Decor","abyssal_decor:gold_bars",12540,"Gold Bars"
"Abyssal Decor","abyssal_decor:gold_bars_mid",12951,"Gold Bars"
"Abyssal Decor","abyssal_decor:gold_sconce",12539,"Gold Sconce"
"Abyssal Decor","abyssal_decor:gray_wallpaper",12648,"Gray Wallpaper"
"Abyssal Decor","abyssal_decor:green_wallpaper",12655,"Green Wallpaper"
"Abyssal Decor","abyssal_decor:grime",12680,"Grime"
"Abyssal Decor","abyssal_decor:grime_carpet",12681,"Grime Carpet"
"Abyssal Decor","abyssal_decor:grime_ceiling",12845,"Grime Ceiling"
"Abyssal Decor","abyssal_decor:grime_floor",12847,"Grime Floor"
"Abyssal Decor","abyssal_decor:grime_mid",12850,"Grime Mid"
"Abyssal Decor","abyssal_decor:grime_mid_ceiling",12848,"Grime Mid Ceiling"
"Abyssal Decor","abyssal_decor:grime_mid_floor",12849,"Grime Mid Floor"
"Abyssal Decor","abyssal_decor:grime_upper",12851,"Grime Upper"
"Abyssal Decor","abyssal_decor:hanging_moss_ceiling",12917,"Ceiling Moss"
"Abyssal Decor","abyssal_decor:hanging_moss_item",12394,"Hanging Moss"
"Abyssal Decor","abyssal_decor:hanging_moss_wall",12916,"Wall Moss"
"Abyssal Decor","abyssal_decor:hanging_moss_wall_flipped",12918,"Wall Moss"
"Abyssal Decor","abyssal_decor:hanging_web",12798,"Wall Web"
"Abyssal Decor","abyssal_decor:hanging_web_item",12441,"Hanging Web"
"Abyssal Decor","abyssal_decor:healing_cinnamon_log",12908,"Cut Cinnamon Log"
"Abyssal Decor","abyssal_decor:healing_cinnamon_wood",12909,"Cut Cinnamon Wood"
"Abyssal Decor","abyssal_decor:inactive_mold",12684,"Inactive Mold"
"Abyssal Decor","abyssal_decor:inactive_moldy_hanger",12867,"Inactive Moldy Hanger"
"Abyssal Decor","abyssal_decor:industrial_lever",12529,"Insulated Lever"
"Abyssal Decor","abyssal_decor:inv_vertical_pearl_bars",12942,"Inverted Small Pearl Bars"
"Abyssal Decor","abyssal_decor:iron_ball_1",12808,"Iron Ball 1"
"Abyssal Decor","abyssal_decor:iron_ball_2",12809,"Iron Ball 2"
"Abyssal Decor","abyssal_decor:iron_ball_3",12810,"Iron Ball 3"
"Abyssal Decor","abyssal_decor:iron_ball_4",12811,"Iron Ball 4"
"Abyssal Decor","abyssal_decor:iron_ball_item",12537,"Iron Ball"
"Abyssal Decor","abyssal_decor:iron_barrier_base",12591,"Iron Barrier"
"Abyssal Decor","abyssal_decor:iron_barrier_ribbon",12969,"Iron Barrier Ribbon"
"Abyssal Decor","abyssal_decor:iron_barrier_top",12968,"Iron Barrier Top"
"Abyssal Decor","abyssal_decor:iron_duct",12522,"Iron Duct"
"Abyssal Decor","abyssal_decor:iron_lamp_item",12421,"Iron Lamp"
"Abyssal Decor","abyssal_decor:iron_panel",12525,"Iron Panel"
"Abyssal Decor","abyssal_decor:iron_panel_slab",12527,"Iron Panel Slab"
"Abyssal Decor","abyssal_decor:iron_panel_stairs",12526,"Iron Panel Stairs"
"Abyssal Decor","abyssal_decor:iron_panel_wall",12528,"Iron Panel Wall"
"Abyssal Decor","abyssal_decor:iron_pillar",12521,"Iron Pillar"
"Abyssal Decor","abyssal_decor:iron_push_door",12523,"Iron Push Door"
"Abyssal Decor","abyssal_decor:iron_sconce",12518,"Iron Sconce"
"Abyssal Decor","abyssal_decor:iron_vent_trapdoor",12524,"Iron Vent Trapdoor"
"Abyssal Decor","abyssal_decor:jade_bricks",12564,"Jade Bricks"
"Abyssal Decor","abyssal_decor:jade_lamp_item",12425,"Jade Lamp"
"Abyssal Decor","abyssal_decor:jade_lamp_off",12815,"Jade Lamp"
"Abyssal Decor","abyssal_decor:jade_lamp_on",12816,"Jade Lamp On"
"Abyssal Decor","abyssal_decor:jade_lantern_off",12567,"Jade Lantern"
"Abyssal Decor","abyssal_decor:jade_lantern_on",12896,"Jade Lantern On"
"Abyssal Decor","abyssal_decor:jade_pillar",12565,"Jade Pillar"
"Abyssal Decor","abyssal_decor:lapis_pillar",12675,"Lapis Lazuli Pillar"
"Abyssal Decor","abyssal_decor:large_deepbronze_pipe",12629,"Large Deepbronze Pipe"
"Abyssal Decor","abyssal_decor:large_seabrass_pipe",12604,"Large Seabrass Pipe"
"Abyssal Decor","abyssal_decor:laser_assisted_electrical_rifle",12977,"Laser Assisted Electrical Rifle"
"Abyssal Decor","abyssal_decor:laventine",12662,"Laventine"
"Abyssal Decor","abyssal_decor:laventine_glass",12663,"Laventine Glass"
"Abyssal Decor","abyssal_decor:laventine_glass_bottom",12975,"Laventine Glass"
"Abyssal Decor","abyssal_decor:laventine_glass_pane_bottom",12976,"Laventine Glass Pane"
"Abyssal Decor","abyssal_decor:laventine_glass_pane_top",12664,"Laventine Glass Pane"
"Abyssal Decor","abyssal_decor:le_fishe_au_chocolat",12786,"Le Fishe au Chocolat"
"Abyssal Decor","abyssal_decor:life_preserver",12431,"Life Preserver"
"Abyssal Decor","abyssal_decor:light_gray_wallpaper",12647,"Light Gray Wallpaper"
"Abyssal Decor","abyssal_decor:lime_wallpaper",12654,"Lime Wallpaper"
"Abyssal Decor","abyssal_decor:lion_statue_bottom",12437,"Lion Statue"
"Abyssal Decor","abyssal_decor:lion_statue_top",12897,"Lion Statue"
"Abyssal Decor","abyssal_decor:lunar_rod",12390,"Lunar Rod"
"Abyssal Decor","abyssal_decor:mixed_bricks",12510,"Mixed Bricks"
"Abyssal Decor","abyssal_decor:mixed_bricks_2",12947,"Mixed Bricks"
"Abyssal Decor","abyssal_decor:mixed_bricks_3",12948,"Mixed Bricks"
"Abyssal Decor","abyssal_decor:mixed_bricks_4",12949,"Mixed Bricks"
"Abyssal Decor","abyssal_decor:mixed_pearl_tiles",12493,"Mixed Pearl Tiles"
"Abyssal Decor","abyssal_decor:mold_fronds",12698,"Mold Fronds"
"Abyssal Decor","abyssal_decor:mold_weave",12685,"Moldweave"
"Abyssal Decor","abyssal_decor:moldier_starstone",12703,"Moldier Starstone"
"Abyssal Decor","abyssal_decor:moldweave_carpet",12686,"Moldweave Carpet"
"Abyssal Decor","abyssal_decor:moldy_book_block",12721,"Moldy Book Block"
"Abyssal Decor","abyssal_decor:moldy_frond_block",12692,"Moldy Frond Block"
"Abyssal Decor","abyssal_decor:moldy_fuzz",12695,"Moldy Fuzz"
"Abyssal Decor","abyssal_decor:moldy_hanger",12696,"Moldy Hanger"
"Abyssal Decor","abyssal_decor:moldy_hanger_top",12860,"Moldy Hanger"
